"CMS Certification Number (CCN)","Facility Name","Address Line 1","Address Line 2","City","State","Zip Code","County Name","PhoneNumber","CMS Region","Ownership Type","Certification Date","Total Number of Beds"
"222000","SPAULDING HOSPITAL FOR CONTINUING MED CARE-CAMB","1575 CAMBRIDGE STREET","","CAMBRIDGE","MA","02138","Middlesex","(617) 876-4344","1","Non-profit","07/01/1966",180
"222002","CURAHEALTH STOUGHTON","909 SUMNER STREET 1ST FLOOR","","STOUGHTON","MA","02072","Norfolk","(781) 297-8200","1","For profit","07/01/1966",198
"222003","TEWKSBURY HOSPITAL","365 EAST STREET","","TEWKSBURY","MA","01876","Middlesex","(978) 851-7321","1","Government","07/01/1966",760
"222006","LEMUEL SHATTUCK HOSPITAL","170 MORTON STREET","","JAMAICA PLAIN","MA","02130","Suffolk","(617) 522-8110","1","Government","07/01/1966",260
"222007","HEBREW REHABILITATION CENTER","1200 CENTRE STREET","","BOSTON","MA","02131","Suffolk","(617) 325-8000","1","Non-profit","07/01/1966",675
"222023","WESTERN MASSACHUSETTS HOSPITAL","91 EAST MOUNTAIN ROAD","","WESTFIELD","MA","01085","Hampden","(413) 562-4131","1","Government","07/01/1966",102
"222025","PAPPAS REHABILITATION HOSPITAL FOR CHILDREN","3 RANDOLPH STREET","","CANTON","MA","02021","Norfolk","(617) 828-2440","1","Government","12/18/1974",239
"222027","NEW ENGLAND SINAI HOSPITAL","150 YORK STREET","","STOUGHTON","MA","02072","Norfolk","(781) 364-4850","1","Non-profit","04/30/1976",212
"222043","VIBRA HOSPITAL OF SOUTHEASTERN MASSACHUSETTS","4499 ACUSHNET AVENUE","","NEW BEDFORD","MA","02745","Bristol","(508) 995-6900","1","For profit","01/01/1993",90
"222046","VIBRA HOSPITAL OF WESTERN MASSACHUSETTS","1400 STATE STREET","","SPRINGFIELD","MA","01109","Hampden","(413) 787-6700","1","For profit","04/13/2001",174
"222047","WHITTIER REHABILITATION HOSPITAL - BRADFORD","145 WARD HILL AVENUE","","BRADFORD","MA","01835","Essex","(978) 372-8000","1","For profit","10/01/2005",60
"222048","WHITTIER REHABILITATION HOSPITAL","150 FLANDERS ROAD","","WESTBOROUGH","MA","01581","Worcester","(508) 871-2063","1","For profit","10/01/2005",88
"232012","SELECT SPECIALTY HOSPITAL-FLINT","401 S BALLENGER, 5TH FLOOR","","FLINT","MI","48532","Genesee","(810) 342-4550","5","For profit","02/01/1998",36
"232019","VIBRA OF SOUTHEASTERN MICHIGAN","26400 W OUTER DRIVE","","LINCOLN PARK","MI","48146","Wayne","(313) 594-6000","5","For profit","07/01/1991",220
"232020","MCLAREN BAY SPECIAL CARE","3250 E MIDLAND RD, SUITE 1","","BAY CITY","MI","48706","Bay","(989) 667-6802","5","Non-profit","01/01/1995",31
"232021","SELECT SPECIALTY HOSPITAL - MUSKEGON","1700 CLINTON STREET, 2 SOUTH AND 3 SOUTH FLOORS","","MUSKEGON","MI","49442","Muskegon","(231) 728-5800","5","For profit","07/01/1997",31
"232023","SELECT SPECIALTY HOSPITAL-MACOMB COUNTY","215 NORTH AVE, SUITE 200","","MOUNT CLEMENS","MI","48043","Macomb","(586) 307-9000","5","For profit","01/01/1999",36
"232024","SELECT SPECIALTY HOSPITAL-ANN ARBOR","5301 E HURON RIVER DR, 7TH FL","","YPSILANTI","MI","48197","Washtenaw","(734) 712-0500","5","For profit","05/01/1999",36
"232029","SELECT SPECIALTY HOSPITAL - SPECTRUM HEALTH","1840 WEALTHY STREET SE, 5TH FLOOR","","GRAND RAPIDS","MI","49506","Kent","(616) 774-3800","5","Non-profit","01/01/2001",146
"232031","SELECT SPECIALTY HOSPITAL-WYANDOTTE, LLC","2333 BIDDLE AVENUE, 8TH FLOOR","","WYANDOTTE","MI","48192","Wayne","(313) 375-7075","5","For profit","09/28/2001",40
"232033","SELECT SPECIALTY HOSPITAL-SAGINAW","1447 NORTH HARRISON, 7TH  &  8TH FLOOR","","SAGINAW","MI","48602","Saginaw","(989) 583-4667","5","For profit","03/01/2003",32
"232034","ASCENSION BORGESS PIPP HOSPITAL","411 NAOMI STREET","","PLAINWELL","MI","49080","Allegan","(269) 685-0700","5","Non-profit","07/01/2003",43
"232035","SELECT SPECIALTY HOSPITAL- BATTLE CREEK","300 NORTH AVENUE 6TH FLOOR","","BATTLE CREEK","MI","49016","Calhoun","(269) 245-4675","5","Non-profit","06/01/2003",25
"232036","HENRY FORD ALLEGIANCE SPECIALTY HOSPITAL","110 N ELM AVENUE","","JACKSON","MI","49202","Jackson","(517) 205-4463","5","Non-profit","03/01/2004",64
"232037","SPARROW SPECIALTY HOSPITAL","1215 E MICHIGAN AVE, 8W SPARROW HOSPITAL TOWER","","LANSING","MI","48912","Ingham","(517) 364-6800","5","Non-profit","01/01/2005",36
"232039","PIONEER SPECIALTY HOSPITAL","50 NORTH PERRY","","PONTIAC","MI","48342","Oakland","(248) 593-1990","5","For profit","10/20/2014",30
"242004","HEALTHEAST BETHESDA HOSPITAL","559 CAPITOL BOULEVARD","","SAINT PAUL","MN","55103","Ramsey","(651) 232-2122","5","Non-profit","01/20/1989",254
"242005","REGENCY HOSPITAL OF MINNEAPOLIS LLC","1300 HIDDEN LAKES PARKWAY","","GOLDEN VALLEY","MN","55422","Hennepin","(763) 302-8301","5","For profit","06/01/1995",92
"252003","SELECT SPECIALTY HOSPITAL - BELHAVEN","1225 NORTH STATE STREET","","JACKSON","MS","39202","Hinds","(601) 968-1260","4","For profit","08/17/1993",25
"252004","SPECIALITY HOSPITAL OF MERIDIAN,THE","1314 19TH AVENUE","","MERIDIAN","MS","39301","Lauderdale","(601) 703-4211","4","Non-profit","05/01/1995",49
"252005","SELECT SPECIALTY HOSPITAL-GULF COAST, INC","1520 BROAD AVENUE SUITE 300","","GULFPORT","MS","39501","Harrison","(228) 575-7500","4","For profit","01/01/1999",70
"252006","REGENCY HOSPITAL OF MERIDIAN","1102 CONSTITUTION AVENUE, 2ND FLOOR","","MERIDIAN","MS","39301","Lauderdale","(601) 484-7900","4","For profit","08/01/2003",40
"252007","SELECT SPECIALTY HOSPITAL JACKSON","5903 RIDGEWOOD ROAD","","JACKSON","MS","39211","Hinds","(601) 899-3800","4","Non-profit","03/01/2003",53
"252008","PROMISE HOSPITAL OF VICKSBURG, INC","2100 HIGHWAY 61 NORTH 6TH FLOOR","","VICKSBURG","MS","39183","Warren","(601) 883-3439","4","For profit","12/05/2003",35
"252009","REGENCY HOSPITAL OF HATTIESBURG","6051 US HIGHWAY 49 5TH FLOOR","","HATTIESBURG","MS","39404","Forrest","(601) 288-8510","4","Government","06/01/2004",33
"252012","REGENCY HOSPITAL OF JACKSON, LLC","969 LAKELAND DRIVE, 6TH FLOOR","","JACKSON","MS","39216","Hinds","(601) 364-6200","4","For profit","10/01/2006",36
"252013","ALLEGIANCE SPECIALTY HOSPITAL OF GREENVILLE","300 SOUTH WASHINGTON AVE, 3RD FLOOR","","GREENVILLE","MS","38701","Washington","(662) 332-7344","4","For profit","11/01/2011",39
"262010","KINDRED HOSPITAL - ST LOUIS","4930 LINDELL BOULEVARD","","SAINT LOUIS","MO","63108","St. Louis City","(314) 361-8700","7","For profit","08/30/1991",60
"262013","SELECT SPECIALTY HOSPITAL-ST LOUIS","300 FIRST CAPITOL DRIVE","","SAINT CHARLES","MO","63301","St. Charles","(314) 768-3400","7","For profit","11/01/2000",33
"262014","SELECT SPECIALTY HOSPITAL - WESTERN MISSOURI","2316 EAST MEYER BOULEVARD, 3-WEST","","KANSAS CITY","MO","64132","Jackson","(816) 276-9444","7","For profit","08/18/2005",34
"262015","LANDMARK HOSPITAL OF CAPE GIRARDEAU, LLC","3255 INDEPENDENCE","","CAPE GIRARDEAU","MO","63701","Cape Girardeau","(573) 335-1091","7","For profit","10/01/2006",30
"262016","LANDMARK HOSPITAL OF JOPLIN, LLC","2040 W 32ND STREET","","JOPLIN","MO","64804","Jasper","(417) 627-1309","7","For profit","12/01/2007",30
"262017","SELECT SPECIALTY HOSPITAL SPRINGFIELD, INC","1630 EAST PRIMROSE","","SPRINGFIELD","MO","65804","Greene","(417) 881-1657","7","For profit","11/01/2008",44
"262018","KINDRED HOSPITAL NORTHLAND","500 NW 68TH STREET","","KANSAS CITY","MO","64118","Clay","(816) 420-6300","7","For profit","05/06/2008",35
"262019","MOSIAC LIFE CARE AT ST JOSEPH","5325 FARAON STREET","","SAINT JOSEPH","MO","64506","Buchanan","(816) 271-6480","7","Non-profit","10/02/2009",41
"262020","LANDMARK HOSPITAL OF COLUMBIA, LLC","604 OLD HIGHWAY 63 NORTH","","COLUMBIA","MO","65201","Boone","(573) 499-6600","7","For profit","04/01/2010",42
"272001","ADVANCED CARE HOSPITAL OF MONTANA","3528 GABEL RD","","BILLINGS","MT","59102","Yellowstone","(406) 373-8000","8","For profit","09/01/2008",40
"282000","MADONNA REHABILITATION SPECIALTY HOSPITAL LINCOLN","5401 SOUTH ST","","LINCOLN","NE","68506","Lancaster","(402) 413-3000","7","Non-profit","07/01/1984",96
"282001","SELECT SPECIALTY HOSPITAL - OMAHA (CENTRAL CAMPUS)","1870 SOUTH 75TH STREET","","OMAHA","NE","68124","Douglas","(402) 361-5830","7","For profit","07/01/2000",52
"282002","SELECT SPECIALTY HOSPITAL - LINCOLN","2300 SOUTH 16TH STREET - 7TH FLOOR","","LINCOLN","NE","68502","Lancaster","(402) 483-8444","7","For profit","02/01/2015",24
"282003","MADONNA REHABILITATION SPECIALTY HOSPITAL OMAHA","17500 BURKE STREET","","OMAHA","NE","68118","Douglas","(402) 401-3000","7","Non-profit","03/01/2015",32
"292002","KINDRED HOSPITAL - LAS VEGAS (SAHARA CAMPUS)","5110 W SAHARA AVE","","LAS VEGAS","NV","89146","Clark","(702) 835-2926","9","For profit","09/01/1994",146
"292003","HORIZON SPECIALTY HOSPITAL","640 S MARTIN LUTHER KING BLVD","","LAS VEGAS","NV","89106","Clark","(702) 382-3155","9","For profit","06/01/1994",199
"292004","TAHOE PACIFIC HOSPITAL - MEADOWS","10101 DOUBLE R BLVD-1ST FLOOR","","RENO","NV","89521","Washoe","(775) 331-1044","9","For profit","09/01/1997",39
"292006","COMPLEX CARE HOSPITAL AT TENAYA","2500 TENAYA WAY","","LAS VEGAS","NV","89128","Clark","(702) 562-2021","9","For profit","01/01/2002",70
"292007","LAS VEGAS-AMG SPECIALTY HOSPITAL","4015 SOUTH MCLEOD","","LAS VEGAS","NV","89121","Clark","(702) 433-2200","9","For profit","01/01/2004",24
"292008","CARSON TAHOE CONTINUING CARE HOSPITAL","775 FLEISCHMANN WAY 2ND FLR","","CARSON CITY","NV","89703","Carson City","(775) 445-7783","9","Non-profit","03/01/2009",29
"312014","MATHENY SCHOOL  &  HOSPITAL, THE","65 HIGHLAND AVENUE","","PEAPACK","NJ","07977","Somerset","(908) 234-0011","2","Non-profit","07/09/1976",102
"312017","SPECIALTY HOSPITAL OF CENTRAL JERSEY","600 RIVER AVENUE,   4 WEST","","LAKEWOOD","NJ","08701","Ocean","(732) 806-3207","2","For profit","11/01/2004",50
"312018","CARE ONE AT RARITAN BAY MEDICAL CENTER, LLC","530 NEW BRUNSWICK AVENUE, 2ND FLOOR GREEN","","PERTH AMBOY","NJ","08861","Middlesex","(732) 324-6090","2","For profit","11/01/2004",51
"312019","SELECT SPECIALTY HOSPITAL NORTHEAST","96 PARKWAY","","ROCHELLE PARK","NJ","07662","Bergen","(201) 221-2352","2","Non-profit","11/01/2004",62
"312020","KINDRED HOSPITAL NEW JERSEY - MORRIS COUNTY","400 WEST BLACKWELL STREET","","DOVER","NJ","07801","Morris","(973) 537-3816","2","For profit","03/01/2005",117
"312022","ACUITY SPECIALTY HOSPITAL OF SOUTHERN NEW JERSEY","218 SUNSET ROAD","","WILLINGBORO","NJ","08046","Burlington","(609) 432-3034","2","For profit","09/01/2006",69
"312023","ACUITY SPECIALTY HOSPITAL OF NEW JERSEY","1925 PACIFIC AVENUE 5TH FLOOR","","ATLANTIC CITY","NJ","08401","Atlantic","(609) 441-2122","2","For profit","06/01/2010",30
"312024","COLUMBUS HOSPITAL LTACH","495 NORTH 13TH STREET","","NEWARK","NJ","07107","Essex","(973) 587-7712","2","Non-profit","09/14/2010",63
"322002","KINDRED HOSPITAL  ALBUQUERQUE","700 HIGH STREET NE","","ALBUQUERQUE","NM","87102","Bernalillo","(505) 242-4444","6","For profit","07/01/1994",61
"322003","ALBUQUERQUE - AMG SPECIALTY HOSPITAL, LLC","5400 GIBSON BLVD SE 3RD FLOOR","","ALBUQUERQUE","NM","87108","Bernalillo","(505) 842-5550","6","Government","06/01/1995",25
"322004","ADVANCED CARE HOSPITAL OF SOUTHERN NEW MEXICO LLC","4451 EAST LOHMAN AVENUE","","LAS CRUCES","NM","88011","Dona Ana","(575) 521-6600","6","Government","03/01/2009",20
"332006","CALVARY HOSPITAL INC","1740 - 70 EASTCHESTER R0AD","","BRONX","NY","10461","Bronx","(718) 863-6900","2","Non-profit","07/01/1966",225
"332008","HENRY J CARTER SPECIALTY HOSPITAL","1752 PARK AVENUE","","NEW YORK","NY","10035","New York","(212) 318-8000","2","Government","07/01/1970",411
"332022","TERENCE CARDINAL COOKE HEALTH CARE CENTER","1249 FIFTH AVENUE","","NEW YORK","NY","10029","New York","(212) 360-3600","2","Non-profit","06/05/1980",50
"342012","KINDRED HOSPITAL GREENSBORO","2401 SOUTHSIDE BLVD","","GREENSBORO","NC","27406","Guilford","(336) 271-2800","4","For profit","02/01/1994",101
"342013","LIFECARE HOSPITALS OF NC","1031 NOELL LANE","","ROCKY MOUNT","NC","27804","Nash","(252) 451-2300","4","For profit","07/01/2000",50
"342014","HIGHSMITH RAINEY MEMORIAL HOSPITAL","150 ROBESON STREET 4TH FLOOR","","FAYETTEVILLE","NC","28301","Cumberland","(910) 609-6700","4","Non-profit","02/01/2003",112
"342015","CAROLINAS CONTINUECARE HOSPITAL AT PINEVILLE","10648 PARK RD, 3RD FL","","CHARLOTTE","NC","28210","Mecklenburg","(704) 379-5117","4","Non-profit","08/01/2003",40
"342017","ASHEVILLE SPECIALTY HOSPITAL","428 BILTMORE AVENUE 4TH FLOOR","","ASHEVILLE","NC","28802","Buncombe","(828) 213-1127","4","For profit","11/01/2003",34
"342018","SELECT SPECIALTY HOSPITAL DURHAM INC","3643 NORTH ROXBORO ROAD 6TH FLOOR","","DURHAM","NC","27704","Durham","(919) 470-9010","4","For profit","02/01/2004",30
"342019","CAROLINAS CONTINUECARE AT KINGS MOUNTAIN","706 WEST KING STREET 2ND FLOOR","","KINGS MOUNTAIN","NC","28086","Gaston","(980) 487-5520","4","Non-profit","01/01/2010",41
"342020","SELECT SPECIALTY HOSPITAL-GREENSBORO","1200 NORTH ELM STREET, 5TH FLOOR","","GREENSBORO","NC","27401","Guilford","(336) 832-7000","4","For profit","05/01/2010",30
"342021","CAROLINAS CONTINUECARE HOSPITAL AT UNIVERSITY","8800 NORTH TRYON STREET","","CHARLOTTE","NC","28262","Mecklenburg","(704) 863-8300","4","Non-profit","12/22/2015",35
"352004","VIBRA HOSPITAL OF FARGO","5225 23RD AVE S","","FARGO","ND","58104","Cass","(701) 241-9099","8","For profit","10/02/1998",31
"352005","VIBRA HOSPITAL OF CENTRAL DAKOTAS LLC","1000 18TH STREET NW","","MANDAN","ND","58554","Morton","(701) 667-2000","8","Non-profit","09/01/1998",41
"362004","DRAKE CENTER INC","151 WEST GALBRAITH ROAD","","CINCINNATI","OH","45216","Hamilton","(513) 418-2500","5","Non-profit","07/01/1966",108
"362015","GRACE HOSPITAL","20000 HARVARD ROAD","","WARRENSVILLE HEIGHTS","OH","44122","Cuyahoga","(216) 491-7295","5","Non-profit","07/01/1995",104
"362016","SELECT SPECIALTY HOSPITAL-NORTHEAST OHIO, INC","1320 MERCY DRIVE, 6TH FLOOR","","CANTON","OH","44708","Stark","(330) 489-8198","5","For profit","03/01/1997",61
"362019","SELECT SPECIALTY HOSPITAL-CINCINNATI, INC","375 DIXMYTH AVE, 15TH FLOOR","","CINCINNATI","OH","45220","Hamilton","(513) 862-4444","5","Non-profit","08/01/1998",36
"362020","KINDRED HOSPITAL LIMA","730 W MARKET ST","","LIMA","OH","45801","Allen","(419) 224-1888","5","For profit","02/01/1999",12
"362022","SELECT SPECIALTY HOSPITAL-COLUMBUS, INC","1087 DENNISON AVENUE, 2ND FLOOR","","COLUMBUS","OH","43201","Franklin","(614) 458-9000","5","Non-profit","09/01/1999",186
"362023","VIBRA HOSPITAL OF MAHONING VALLEY","8049 SOUTH AVENUE","","BOARDMAN","OH","44512","Mahoning","(330) 726-5021","5","Non-profit","02/01/2000",45
"362024","SELECT SPECIALTY HOSPITAL - YOUNGSTOWN","1044 BELMONT AVE","","YOUNGSTOWN","OH","44501","Mahoning","(330) 841-4750","5","For profit","06/23/1999",31
"362025","COMMUNITY SPECIALTY HOSPITAL","254 CLEVELAND AVENUE, 2ND FLOOR","","AMHERST","OH","44001","Lorain","(440) 988-6141","5","Non-profit","10/01/2000",30
"362026","SELECT SPECIALTY HOSPITAL- CLEVELAND FAIRHILL","11900 FAIRHILL ROAD","","CLEVELAND","OH","44120","Cuyahoga","(216) 983-8011","5","For profit","10/01/2000",119
"362027","SELECT SPECIALTY HOSPITAL-AKRON","200 EAST MARKET STREET","","AKRON","OH","44308","Summit","(330) 761-7500","5","For profit","12/01/2000",34
"362028","LIFE CARE HOSPITALS OF DAYTON","4000 MIAMISBURG-CENTERVILLE ROAD","","MIAMISBURG","OH","45342","Montgomery","(937) 384-8300","5","Non-profit","09/01/2001",44
"362029","REGENCY HOSPITAL OF CLEVELAND EAST","4200 INTERCHANGE CORPORATE CENTER ROAD","","WARRENSVILLE HTS","OH","44128","Cuyahoga","(216) 910-3800","5","For profit","12/01/2002",142
"362031","SELECT SPECIALTY HOSPITAL SOUTHEAST OHIO","200 TAMARACK ROAD, 2ND FLOOR","","NEWARK","OH","43055","Licking","(740) 588-7888","5","For profit","04/01/2004",35
"362032","AULTMAN SPECIALTY HOSPITAL","2000 SIXTH STREET","","CANTON","OH","44710","Stark","(330) 363-4000","5","Non-profit","10/01/2004",30
"362033","KINDRED HOSPITALS-DAYTON","707 EAST EDWIN C MOSES BLVD","","DAYTON","OH","45417","Montgomery","(937) 331-9265","5","Non-profit","03/01/2005",67
"362034","REGENCY HOSPITAL OF CINCINNATI, LLC","10500 MONTGOMERY ROAD","","CINCINNATI","OH","45219","Hamilton","(513) 559-5957","5","Government","02/09/2005",39
"362035","ACUITY SPECIALTY HOSPITAL OHIO VALLEY","4697 HARRISON STREET, 2ND FLOOR","","BELLAIRE","OH","43906","Belmont","(740) 671-2086","5","For profit","04/01/2006",72
"362036","REGENCY HOSPITAL OF TOLEDO","5220 WEST ALEXIS ROAD","","SYLVANIA","OH","43560","Lucas","(419) 318-5700","5","For profit","01/01/2008",45
"362037","SELECT SPECIALTY HOSPITAL COLUMBUS","1430 SOUTH HIGH STREET","","COLUMBUS","OH","43207","Franklin","(614) 456-0339","5","For profit","07/01/2008",43
"362038","ADVANCED SPECIALTY HOSPITAL OF TOLEDO","1015 GARDEN LAKE PARKWAY","","TOLEDO","OH","43614","Lucas","(419) 381-0037","5","For profit","03/01/2009",40
"362039","LIFE LINE HOSPITAL","200 SCHOOL STREET","","WINTERSVILLE","OH","43953","Jefferson","(740) 346-2600","5","Non-profit","08/01/2010",36
"372004","CURAHEALTH OKLAHOMA","1407 NORTH ROBINSON AVENUE","","OKLAHOMA CITY","OK","73103","Oklahoma","(405) 232-8000","6","For profit","10/01/1993",93
"372005","EDMOND - AMG SPECIALTY HOSPITAL","4300 W MEMORIAL RD, 2ND FL","","OKLAHOMA CITY","OK","73120","Oklahoma","(405) 341-5617","6","For profit","06/01/1993",37
"372007","SELECT SPECIALTY HOSPITAL - TULSA/MIDTOWN, LLC","1125 SOUTH TRENTON, 2ND  &  3RD FLOOR","","TULSA","OK","74120","Tulsa","(918) 579-7301","6","For profit","09/01/1994",56
"372009","SELECT SPECIALTY HOSPITAL - OKLAHOMA CITY, INC","3524 NORTHWEST 56TH STREET","","OKLAHOMA CITY","OK","73112","Oklahoma","(405) 606-6700","6","For profit","02/01/1996",72
"372012","INSPIRE SPECIALTY HOSPITAL","8210 NATIONAL AVENUE","","MIDWEST CITY","OK","73110","Oklahoma","(405) 739-0800","6","For profit","05/31/1998",31
"372016","INTEGRIS BASS PAVILION","401 SOUTH THIRD STREET","","ENID","OK","73701","Garfield","(580) 249-4260","6","Non-profit","12/01/2001",24
"372017","LANE FROST HEALTH AND REHABILITATION CENTER","2815 EAST JACKSON","","HUGO","OK","74743","Choctaw","(580) 326-9200","6","Non-profit","07/01/2004",60
"372018","PAM SPECIALTY HOSPITAL OF TULSA","3219 SOUTH 79TH EAST AVENUE","","TULSA","OK","74145","Tulsa","(918) 663-8183","6","For profit","10/01/2004",60
"372019","CORNERSTONE SPECIALTY HOSPITALS SHAWNEE","1900 GORDON COOPER DRIVE, 2ND FLOOR","","SHAWNEE","OK","74801","Pottawatomie","(405) 395-5800","6","Non-profit","09/01/2005",34
"372022","CORNERSTONE SPECIALTY HOSPITALS MUSKOGEE","351 SOUTH 40TH STREET","","MUSKOGEE","OK","74401","Muskogee","(918) 682-6161","6","For profit","07/01/2007",64
"372023","MUSCOGEE (CREEK) NATION LONG TERM ACUTE CARE HOSPI","900 EAST AIRPORT ROAD","","OKMULGEE","OK","74447","Okmulgee","(918) 756-9211","6","Tribal","10/25/2012",4
"382004","VIBRA SPECIALTY HOSPITAL OF PORTLAND","10300 NE HANCOCK STREET","","PORTLAND","OR","97220","Multnomah","(503) 257-5500","10","For profit","02/01/2008",73
"392024","LIFECARE HOSPITALS OF PITTSBURGH","225 PENN AVENUE","","PITTSBURGH","PA","15221","Allegheny","(412) 247-2356","3","For profit","07/01/1993",32
"392025","PAM SPECIALTY HOSPITAL OF WILKES-BARRE","575 NORTH RIVER STREET, 7TH FLOOR","","WILKES-BARRE","PA","18764","Luzerne","(570) 208-3310","3","For profit","01/01/1994",36
"392027","KINDRED HOSPITAL PHILADELPHIA","6129 PALMETTO STREET","","LAWNCREST","PA","19111","Philadelphia","(215) 722-8555","3","For profit","10/01/1995",52
"392028","CURAHEALTH PITTSBURGH","7777 STEUBENVILLE PIKE","","OAKDALE","PA","15071","Allegheny","(412) 494-5500","3","For profit","07/01/1996",63
"392031","SELECT SPECIALTY HOSPITAL - JOHNSTOWN","320 MAIN STREET","","JOHNSTOWN","PA","15901","Cambria","(814) 534-7300","3","Non-profit","05/01/1999",39
"392033","GOOD SHEPHERD SPECIALTY HOSPITAL","2545 SCHOENERSVILLE ROAD","","BETHLEHEM","PA","18017","Lehigh","(484) 884-5051","3","Non-profit","07/01/2000",32
"392036","SELECT SPECIALTY HOSPITAL LAUREL HIGHLANDS INC","ONE MELLON WAY","","LATROBE","PA","15650","Westmoreland","(724) 830-8649","3","For profit","04/01/2001",40
"392037","SELECT SPECIALTY HOSPITAL - ERIE","252 WEST 11TH STREET","","ERIE","PA","16501","Erie","(814) 874-5300","3","For profit","06/01/2001",50
"392039","SELECT SPECIALTY HOSPITAL - CENTRAL PA HARRISBURG","111 SOUTH FRONT STREET","","HARRISBURG","PA","17101","Dauphin","(717) 972-4560","3","For profit","01/01/2002",92
"392043","CURAHEALTH HERITAGE VALLEY","1000 DUTCH RIDGE ROAD","","BEAVER","PA","15009","Beaver","(724) 773-8480","3","For profit","07/01/2003",35
"392044","SELECT SPECIALTY HOSPITAL - PITTSBURGH/UPMC","200 LOTHROP STREET, MUH E824","","PITTSBURGH","PA","15213","Allegheny","(412) 586-9821","3","For profit","07/01/2004",32
"392045","SELECT SPECIALTY HOSPITAL - MCKEESPORT, INC","1500 FIFTH AVENUE","","MC KEESPORT","PA","15132","Allegheny","(412) 664-2900","3","For profit","09/01/2004",30
"392046","KINDRED HOSPITAL SOUTH PHILADELPHIA","1930 SOUTH BROAD STREET UNIT #12","","PHILADELPHIA","PA","19145","Philadelphia","(267) 570-5200","3","For profit","01/01/2005",58
"392047","SELECT SPECIALTY HOSPITAL - DANVILLE","100 NORTH ACADEMY AVENUE 3RD FLR BUSH  &  GEISINGER","","DANVILLE","PA","17822","Montour","(570) 214-9648","3","For profit","02/01/2005",30
"392048","LIFECARE HOSPITALS OF CHESTER COUNTY","400 EAST MARSHAL STREET","","WEST CHESTER","PA","19380","Chester","(484) 826-0400","3","For profit","04/01/2006",39
"392050","GOOD SHEPHERD PENN PARTNERS","1800 LOMBARD STREET","","PHILADELPHIA","PA","19146","Philadelphia","(215) 893-2548","3","Non-profit","04/01/2009",38
"412001","ELEANOR SLATER HOSPITAL","111 HOWARD AVE","","CRANSTON","RI","02921","Providence","(401) 462-1525","1","Government","07/01/1966",495
"422004","SPARTANBURG HOSP FOR RESTORATIVE CARE","389 SERPENTINE DR","","SPARTANBURG","SC","29303","Spartanburg","(864) 560-3235","4","Government","10/01/1996",97
"422005","VIBRA HOSPITAL OF CHARLESTON","1200 HOSPITAL DRIVE","","MOUNT PLEASANT","SC","29464","Charleston","(843) 881-4047","4","For profit","07/01/1999",59
"422006","CONTINUECARE HOSPITAL AT PALMETTO HEALTH BAPTIST","1330 TAYLOR AT MARION STREET","","COLUMBIA","SC","29201","Richland","(803) 296-3757","4","Non-profit","08/01/1999",35
"422007","REGENCY HOSPITAL OF FLORENCE","121 EAST CEDAR ST, 4TH FL","","FLORENCE","SC","29501","Florence","(843) 661-3481","4","For profit","02/01/2002",40
"422008","GHS NORTH GREENVILLE LTACH","807 NORTH MAIN STREET","","TRAVELERS REST","SC","29690","Greenville","(864) 834-5132","4","Non-profit","03/01/2004",45
"422009","REGENCY HOSPITAL OF GREENVILLE","1 ST FRANCIS DRIVE, 4TH FLOOR","","GREENVILLE","SC","29601","Greenville","(864) 255-1401","4","For profit","08/01/2005",32
"432002","SELECT SPECIALTY HOSPITAL - SOUTH DAKOTA","1305 WEST 18TH STREET","","SIOUX FALLS","SD","57105","Minnehaha","(605) 312-9520","8","For profit","03/01/1998",24
"442006","CURAHEALTH NASHVILLE","1412 COUNTY HOSPITAL ROAD, B-1","","NASHVILLE","TN","37218","Davidson","(615) 687-2600","4","Non-profit","07/01/1987",60
"442007","KINDRED HOSPITAL - CHATTANOOGA","709 WALNUT STREET","","CHATTANOOGA","TN","37402","Hamilton","(423) 266-7721","4","For profit","10/01/1993",49
"442010","BAPTIST MEMORIAL RESTORATIVE CARE HOSPITAL","6019 WALNUT GROVE ROAD 1 WEST","","MEMPHIS","TN","38120","Shelby","(901) 226-4200","4","Non-profit","07/01/1995",30
"442011","SELECT SPECIALTY HOSPITAL-NASHVILLE","2000 HAYES STREET","","NASHVILLE","TN","37203","Davidson","(615) 284-4599","4","For profit","05/01/1996",70
"442014","SELECT SPECIALTY HOSPITAL MEMPHIS","5959 PARK AVENUE","","MEMPHIS","TN","38119","Shelby","(901) 765-1245","4","For profit","12/01/1997",30
"442015","SELECT SPECIALTY HOSPITAL-NORTH KNOXVILLE","7557 B DANNAHER DRIVE SUITE 145","","POWELL","TN","37849","Knox","(865) 545-7370","4","For profit","01/01/1999",68
"442016","SELECT SPECIALTY HOSPITAL-TRICITIES","ONE MEDICAL PARK BOULEVARD, 5TH FLOOR","","BRISTOL","TN","37620","Sullivan","(423) 844-5900","4","For profit","11/01/2000",33
"442017","REGIONAL ONE HEALTH EXTENDED CARE HOSPITAL","890 MADISON AVENUE, 4TH FLOOR","","MEMPHIS","TN","38103","Shelby","(901) 513-3000","4","Non-profit","02/03/2014",30
"452015","KINDRED HOSPITAL DALLAS","9525 GREENVILLE AVENUE","","DALLAS","TX","75218","Dallas","(214) 355-2600","6","For profit","12/17/1987",140
